"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"SUMMARY_PATTERN_FOR_CROSS_REACHES","キャンペーン","Campaign","summaryPatternForCrossReaches","STRING",,"Attribute","","",""
"UNIQUE_USERS_WITH_VIEWABLE_IMPRESSIONS","ビューアブルインプレッションのユニークユーザー数","Unique users with viewable impressions","uniqueUsersWithViewableImpressions","LONG",,"Metric","","",""
"UNIQUE_USERS_WITH_CLICKS_OR_VIDEO_VIEWS","クリックまたは動画再生のユニークユーザー数","Unique users with clicks or video views","uniqueUsersWithClicksOrVideoViews","LONG",,"Metric","","",""
"UNIQUE_USERS_WITH_CONVERSIONS","コンバージョン（ビュースルーを含む）のユニークユーザー数","Unique users with conversions (incl. view-through)","uniqueUsersWithConversionsIncludeViewThrough","LONG",,"Metric","","",""
"UNIQUE_USERS_WITH_CLICK_AND_VIDEO_CONVERSIONS","コンバージョンのユニークユーザー数","Unique users with conversions","uniqueUsersWithConversions","LONG",,"Metric","","",""
"UNIQUE_USERS_WITH_CLICK_CONVERSIONS","コンバージョン（クリック経由）のユニークユーザー数","Unique users with conversions (via click)","uniqueUsersWithConversionsViaClick","LONG",,"Metric","","",""
"UNIQUE_USERS_WITH_VIEW_THROUGH_CONVERSIONS","ビュースルーコンバージョンのユニークユーザー数","Unique users with view-through conversions","uniqueUsersWithViewThroughConversions","LONG",,"Metric","","",""
"ACCOUNT_FOR_CROSS_REACHES","アカウント","Account","account","STRING",,"Attribute","","",""
